Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-3946,Broderick,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,10/11/2022,Transfer In,N/A,N/A,169,33,169
GPG-A-3978,Vash,Dog,"Shepherd, German",Adult Dog (6 months+),N/A,10/15/2022,Stray,N/A,N/A,165,41,156
GPG-A-3989,Drago,Dog,Cattle Dog,Adult Dog (6 months+),N/A,10/19/2022,Stray,N/A,N/A,161,61,153
GPG-A-3991,Bennett,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,10/19/2022,Transfer In,N/A,N/A,161,37,160
GPG-A-3992,Chipster aka Chip,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,10/19/2022,Transfer In,12/29/2022,Adoption,71,43,67
GPG-A-3022-2,Vista,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,10/24/2022,Owner/Guardian Surrender,N/A,N/A,156,0,156
GPG-A-4021,Mavi,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,10/26/2022,Stray,N/A,N/A,154,25,146
GPG-A-4048,Ducky,Dog,Shepherd,Adult Dog (6 months+),N/A,11/3/2022,Owner/Guardian Surrender,N/A,N/A,146,42,146
GPG-A-4108,Rousso,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/15/2022,Transfer In,2/15/2023,Adoption,93,66,93
GPG-A-4126,Collard Greens,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,11/19/2022,Stray,N/A,N/A,130,26,126
GPG-A-4146,Dorthea,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/28/2022,Transfer In,2/3/2023,Adoption,68,8,28
GPG-A-4157,Reid,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/29/2022,Stray,1/20/2023,Adoption,53,44,52
GPG-A-4165,Abra,Dog,Hound,Adult Dog (6 months+),N/A,12/6/2022,Transfer In,N/A,N/A,113,4,110
GPG-A-4166,Cadabra,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/6/2022,Transfer In,N/A,N/A,113,3,113
GPG-A-3745-2,Dexter,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/6/2022,Owner/Guardian Surrender,N/A,N/A,113,47,113
GPG-A-4171,Knight,Dog,"Retriever, Labrador",Adult Dog (6 months+),N/A,12/6/2022,Owner/Guardian Surrender,N/A,N/A,113,0,113
GPG-A-4188,Jovie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 11",12/9/2022,Stray,N/A,N/A,110,87,104
GPG-A-4193,Kathleen,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/13/2022,Stray,N/A,N/A,106,0,106
GPG-A-4195,Merry,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),N/A,12/14/2022,Stray,N/A,N/A,105,2,96
GPG-A-4226,Kringle,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/19/2022,Stray,N/A,N/A,100,1,100
GPG-A-4228,Kimi,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),N/A,12/19/2022,Stray,N/A,N/A,100,2,98
GPG-A-4238,Ryder,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 4",12/21/2022,Transfer In,N/A,N/A,98,69,82
GPG-A-4243,Juliana,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/21/2022,Transfer In,N/A,N/A,98,0,60
GPG-A-4245,Lyja,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,12/21/2022,Transfer In,N/A,N/A,98,0,54
GPG-A-4246,Brain,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,12/21/2022,Transfer In,N/A,N/A,98,0,55
GPG-A-4247,Grimm,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,12/21/2022,Transfer In,N/A,N/A,98,0,55
GPG-A-4250,Bonnie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/21/2022,Owner/Guardian Surrender,N/A,N/A,98,6,97
GPG-A-4259,Mac,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/22/2022,Stray,N/A,N/A,97,9,90
GPG-A-4275,Charlie,Dog,Shepherd,Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 9",12/23/2022,Stray,N/A,N/A,96,32,89
GPG-A-4276,Ponderosa,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/23/2022,Stray,N/A,N/A,96,19,89
GPG-A-4277,Deandra,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/23/2022,Stray,N/A,N/A,96,2,96
GPG-A-4282,Raymond,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/23/2022,Stray,N/A,N/A,96,27,92
GPG-A-4284,Duncan,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/26/2022,Stray,N/A,N/A,93,3,87
GPG-A-4335,Misty,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,1/5/2023,Transfer In,N/A,N/A,83,6,83
GPG-A-4344,Abbott,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 3",1/5/2023,Stray,N/A,N/A,83,32,73
GPG-A-4345,Costello,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/5/2023,Stray,N/A,N/A,83,8,44
GPG-A-4359,Bon Bon Girl,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,1/6/2023,Stray,N/A,N/A,82,56,75
GPG-A-4367,Amina,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/10/2023,Stray,N/A,N/A,78,7,71
GPG-A-4368,Juke,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),N/A,1/11/2023,Stray,N/A,N/A,77,18,48
GPG-A-4369,Sophia,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,1/11/2023,Stray,N/A,N/A,77,9,76
GPG-A-4379,Lovebird,Dog,Rottweiler,Adult Dog (6 months+),Adopted,1/14/2023,Owner/Guardian Surrender,3/15/2023,Adoption,61,6,19
GPG-A-4383,Stork,Dog,Rottweiler,Puppy (6 weeks-5 months),N/A,1/14/2023,Owner/Guardian Surrender,N/A,N/A,74,3,72
GPG-A-4386,Mojo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/17/2023,Owner/Guardian Surrender,N/A,N/A,71,46,71
GPG-A-4404,Disco Stu,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/19/2023,Transfer In,N/A,N/A,69,19,50
GPG-A-4434,Ralphie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/24/2023,Stray,2/19/2023,Adoption,26,26,13
GPG-A-4435,Bae Bae,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 10",1/24/2023,Owner/Guardian Surrender,N/A,N/A,64,56,64
GPG-A-4437,Mia,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),N/A,1/25/2023,Stray,N/A,N/A,63,30,50
GPG-A-4440,Amaretto,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 6",1/26/2023,Transfer In,N/A,N/A,62,2,62
GPG-A-4535,Birdie,Dog,Beagle,Puppy (6 weeks-5 months),N/A,1/30/2023,Born In Care,N/A,N/A,58,0,22
GPG-A-4446,Pablo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 6",1/30/2023,Stray,N/A,N/A,58,43,50
GPG-A-4447,Joey,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/31/2023,Transfer In,N/A,N/A,57,7,57
GPG-A-4449,Lamar,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/31/2023,Stray,N/A,N/A,57,16,50
GPG-A-4457,Inky,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Suites, Cuddle Room 2",2/2/2023,Stray,N/A,N/A,55,52,4
GPG-A-4467,Kia,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/3/2023,Owner/Guardian Surrender,N/A,N/A,54,1,6
GPG-A-4146-2,Dorthea,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/5/2023,Return,N/A,N/A,52,0,52
GPG-A-4479,Portia,Dog,Shepherd,Adult Dog (6 months+),N/A,2/8/2023,Stray,N/A,N/A,49,1,1
GPG-A-224-3,Nena,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/10/2023,Transfer In,2/20/2023,Adoption,11,1,11
GPG-A-4489,Lucia,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,N/A,N/A,47,1,37
GPG-A-4491,Cam,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,N/A,N/A,47,1,44
GPG-A-4493,Paula,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,N/A,N/A,47,2,35
GPG-A-4495,Old Man Jenkins,Dog,"Pyrenees, Great",Adult Dog (6 months+),N/A,2/10/2023,Stray,N/A,N/A,47,4,43
GPG-A-4514,Maddie,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4510,Lightning,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,0
GPG-A-4511,Tow,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4512,Sarge,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4513,Fillmore,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4515,Cruz,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4516,Holley,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4517,Lizzie,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4507,Brandy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/15/2023,Stray,N/A,N/A,42,22,33
GPG-A-4519,Sasha,Dog,"Bulldog, American",Adult Dog (6 months+),"Suites, Cuddle Room 1",2/17/2023,Owner/Guardian Surrender,N/A,N/A,40,23,40
GPG-A-4108-2,Rousso,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/19/2023,Return,N/A,N/A,38,0,38
GPG-A-4434-2,Ralphie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/21/2023,Return,N/A,N/A,36,14,36
GPG-A-4532,Billy,Dog,Mastiff,Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 1",2/22/2023,Owner/Guardian Surrender,N/A,N/A,35,13,35
GPG-A-4536,Adaline,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 2",2/24/2023,Stray,N/A,N/A,33,33,9
GPG-A-4540,Hope Joy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/25/2023,Stray,N/A,N/A,32,11,2
GPG-A-560-2,Mr. Rogers,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,2/28/2023,Owner/Guardian Surrender,N/A,N/A,29,0,29
GPG-A-4548,Thump,Dog,Great Dane,Adult Dog (6 months+),N/A,3/2/2023,Stray,N/A,N/A,27,9,19
GPG-A-4546,Remy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 14",3/2/2023,Transfer In,N/A,N/A,27,18,27
GPG-A-4549,Toffee,Dog,"Poodle, Standard",Adult Dog (6 months+),Adopted,3/7/2023,Stray,3/14/2023,Adoption,8,3,5
GPG-A-4550,Samoa,Dog,"Poodle, Standard",Adult Dog (6 months+),N/A,3/7/2023,Stray,N/A,N/A,22,16,15
GPG-A-4551,Theodore,Dog,Great Dane,Adult Dog (6 months+),N/A,3/8/2023,Owner/Guardian Surrender,N/A,N/A,21,9,5
GPG-A-4554,Eloise,Dog,"Hound, Plott",Adult Dog (6 months+),N/A,3/9/2023,Stray,N/A,N/A,20,12,19
GPG-A-4558,Chaco,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 1",3/9/2023,Transfer In,N/A,N/A,20,4,20
GPG-A-4560,August,Dog,"Retriever, Labrador",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,N/A,N/A,20,9,20
GPG-A-4561,Pansy,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,3/9/2023,Transfer In,3/17/2023,Adoption,8,8,8
GPG-A-4562,Jane,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,N/A,N/A,20,5,20
GPG-A-4563,Miller,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,N/A,N/A,20,18,0
GPG-A-4571,Ameren,Dog,"Shepherd, German",Adult Dog (6 months+),N/A,3/13/2023,Stray,N/A,N/A,16,5,12
GPG-A-4572,Mouse,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/13/2023,Transfer In,N/A,N/A,16,1,16
GPG-A-4573,Nissa,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 13",3/14/2023,Owner/Guardian Surrender,N/A,N/A,15,15,15
GPG-A-4574,Nala,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 13",3/14/2023,Owner/Guardian Surrender,N/A,N/A,15,15,15
GPG-A-4579,Irish,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,N/A,N/A,13,1,12
GPG-A-4580,Clover,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,N/A,N/A,13,1,12
GPG-A-4581,Guinness,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,N/A,N/A,13,1,12
GPG-A-4584,Precious,Dog,"Terrier, Jack Russell",Adult Dog (6 months+),N/A,3/16/2023,Owner/Guardian Surrender,N/A,N/A,13,1,13
GPG-A-4586,Choppo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Suites, Training Room",3/17/2023,Owner/Guardian Surrender,N/A,N/A,12,12,0
GPG-A-4592,Dirt Bike,Dog,"Terrier, Pit Bull",Puppy Unweaned (0-6 weeks),N/A,3/18/2023,Stray,N/A,N/A,11,1,0
GPG-A-4605,Adrian,Dog,"Shepherd, German",Adult Dog (6 months+),N/A,3/20/2023,Stray,N/A,N/A,9,4,2
GPG-A-4606,Rocky,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 4",3/20/2023,Stray,N/A,N/A,9,9,2
GPG-A-4609,Finn,Dog,"Pyrenees, Great",Puppy (6 weeks-5 months),N/A,3/21/2023,Transfer In,N/A,N/A,8,1,5
GPG-A-4611,Fagen,Dog,"Pyrenees, Great",Puppy (6 weeks-5 months),N/A,3/21/2023,Transfer In,N/A,N/A,8,1,5
GPG-A-4613,Cadbury,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"GPG Shelter ESTL, Meet & Greet/Adoption Room",3/21/2023,Stray,N/A,N/A,8,8,0
GPG-A-4635,Tonka,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 3",3/22/2023,Stray,N/A,N/A,7,7,0
GPG-A-4631,Big Bertha,Dog,Akita,Adult Dog (6 months+),N/A,3/22/2023,Stray,N/A,N/A,7,5,3
GPG-A-4637,Charlie Daniels,Dog,Saint Bernard,Adult Dog (6 months+),N/A,3/23/2023,Stray,N/A,N/A,6,2,0
GPG-A-4638,Zenon,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/24/2023,Owner/Guardian Surrender,N/A,N/A,5,1,5
GPG-A-4639,Astrid,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/24/2023,Owner/Guardian Surrender,N/A,N/A,5,3,5
GPG-A-3524-2,Tico,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/27/2023,Owner/Guardian Surrender,N/A,N/A,2,0,2
GPG-A-4653,Blix,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 2",3/27/2023,Owner/Guardian Surrender,N/A,N/A,2,2,2
GPG-A-4654,Llama,Dog,"Terrier, American Pit Bull",Puppy (6 weeks-5 months),N/A,3/27/2023,Owner/Guardian Surrender,N/A,N/A,2,2,2
GPG-A-4656,Ohana aka Rudolph,Dog,Shiba Inu,Adult Dog (6 months+),"Intake Holding Room 1, Kennel 5",3/28/2023,Transfer In,N/A,N/A,1,0,0
